,Title,Company,Location,Date Posted,Summary,Job Link
2546,Dental Assistant,Dream Kids Dental,"Los Angeles, CA 90037 (Vermont Square area)",EmployerActive 3 days ago,"- Salary: 18 - 24 / hours - Job type: Full-time / Part-time - Benefits: Paid time off, Bonus pay, Professional development assistance. - Required: X…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Los+Angeles%2C+CA&radius=100&vjk=8b92a5034a4fbba9&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&vjk=c469937f36e63724
2547,Dental Assistant,Ramin Hatami Dds A Professiona,"West Hills, CA 91304",PostedPosted 30 days ago,"We are looking for a dental assistant for a private practice in West Hills, someone reliable, responsible and pleasant for patients. Dental assistants should…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Los+Angeles%2C+CA&radius=100&vjk=8b92a5034a4fbba9&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&vjk=5541ead65bf4075f
2548,Insurance /fanatical coordinator,Link Dental Excellence,"Culver City, CA 90232",PostedPosted 30+ days ago,We are seeking a skilled and detail-oriented individual to join our dental practice as a Dental Insurance Coordinator. As a crucial member of our…,https://www.indeed.com/jobs?q=Dental+Jobs&l=Los+Angeles%2C+CA&radius=100&vjk=8b92a5034a4fbba9&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&vjk=534255cb985b3798
2549,Dental Front Desk Receptionist,KARIN HATAMI DDS,"Redlands, CA 92373",EmployerActive 3 days ago,"* Answer phones, Check patients in and out, insurance verification * Be present during comprehensive exams to understand patient treatment needs. * When…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Los+Angeles%2C+CA&radius=100&vjk=8b92a5034a4fbba9&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&vjk=5a6ce3580c44029d
2550,Dental Auditor/Private Pay Collector,Dental Views,"Fullerton, CA 92835",PostedPosted 14 days ago,Description: Dental Private Pay Collector Job Overview The Private Pay Collector will support our dental offices and their patients by making outgoing and…,https://www.indeed.com/jobs?q=Dental+Jobs&l=Los+Angeles%2C+CA&radius=100&vjk=8b92a5034a4fbba9&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&vjk=c1658ab837773582
2551,Dental Assistant,Dentist of Torrance,"Torrance, CA 90505 (Southwood Riviera area)",EmployerActive 8 days ago,Responsibilities: - Assist the dentist during dental procedures - Prepare treatment rooms for patient examinations - Take and develop dental x-rays -…,https://www.indeed.com/jobs?q=Dental+Jobs&l=Los+Angeles%2C+CA&radius=100&vjk=8b92a5034a4fbba9&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&vjk=442826026ccb6172
2552,"DENTAL ASSISTANT, DA, ORTHODONTIC ASSISTANT, RDA, ADMINISTRATIVE ASSISTANT","ORTHODONTICS, Dr Douglas Nguyen, Dr Sean Truong","Westminster, CA 92683",EmployerActive 9 days ago,Would you rather get just a job or a professional career where people respect and appreciate you? Thriving orthodontic specialty practice in Westminster…,https://www.indeed.com/jobs?q=Dental+Jobs&l=Los+Angeles%2C+CA&radius=100&vjk=8b92a5034a4fbba9&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&vjk=2c2ec0034e2d3f3b
2553,Associate General Dentist,SAN FERNANDO FAMILY DENTAL,"Los Angeles, CA 90065 (Glassell Park area)",EmployerActive 9 days ago,"Strong knowledge of dental procedures, techniques, and best practices.
Perform dental examinations, diagnose oral conditions, and develop treatment plans.",https://www.indeed.com/jobs?q=Dental+Jobs&l=Los+Angeles%2C+CA&radius=100&vjk=8b92a5034a4fbba9&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&vjk=27fca3b01a3e872d
2554,Registered Dental Hygienist,Brenda evans louka dds inc,"San Bernardino, CA 92408 (Show Place area)",PostedPosted 1 day ago,"We're looking for a ROCKSTAR that cares about her/his patient's overall and oral health, loves educating and is able to build rapport with patients.",https://www.indeed.com/jobs?q=Dental+Jobs&l=Los+Angeles%2C+CA&radius=100&vjk=8b92a5034a4fbba9&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&vjk=4acf5cdc7839d418
2555,Experienced Dental Assistant,"Dr. Man's Dental Practice, Inc","Chino Hills, CA 91709",EmployerActive 3 days ago,"Minimum 2 year of dental office experience (Required).
High school diploma or comparable experience.
To keep our staff and patients safe and healthy; we have…",https://www.indeed.com/jobs?q=Dental+Jobs&l=Los+Angeles%2C+CA&radius=100&vjk=8b92a5034a4fbba9&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&l=Los+Angeles%2C+CA&radius=100&vjk=e6d934064c86b608
